made_at_utc,target_minute_utc,product,p_up,px_at_call,px_at_target,outcome,note
2026-08-12T14:55:45,2026-08-12T14:56,BTC-USD,0.4871,63410.98,63361.90,right,"{""f"": [1.0, -0.22730349999315191, -1.1424697374926187, 0.5166633604774041, 0.0, 0.0], ""sig"": 0.0006424}"
2026-08-12T14:56:45,2026-08-12T14:57,BTC-USD,0.4589,63361.90,63370.16,wrong,"{""f"": [1.0, -1.0974689016163992, -1.169114406720224, 0.7619232567289232, 0.0, 0.0], ""sig"": 0.00064561}"
2026-08-12T14:57:45,2026-08-12T14:58,BTC-USD,0.4956,63370.16,63325.81,right,"{""f"": [1.0, 0.27959121838749684, -0.9911983258959866, 0.6832613059351837, 0.0, 0.0], ""sig"": 0.00062767}"
2026-08-12T14:58:46,2026-08-12T14:59,BTC-USD,0.4753,63325.81,63291.75,right,"{""f"": [1.0, -1.0557024543719957, -1.3255952532124338, 0.8954781173609154, 0.0, 0.0], ""sig"": 0.00062923}"
2026-08-12T14:59:46,2026-08-12T15:00,BTC-USD,0.4608,63291.75,63266.67,right,"{""f"": [1.0, -0.8165854804697543, -1.4547747889830112, 1.0179457872837514, 0.0, 0.0], ""sig"": 0.00062345}"
2026-08-12T15:00:46,2026-08-12T15:01,BTC-USD,0.4417,63266.67,63307.82,wrong,"{""f"": [1.0, -0.7623604159339102, -1.5891322920204694, 1.0765006414316765, 0.0, 0.0], ""sig"": 0.00062268}"
2026-08-12T15:01:47,2026-08-12T15:02,BTC-USD,0.4775,63307.82,63340.42,wrong,"{""f"": [1.0, 0.9201916856848728, -0.5804245547159944, 0.6954908940454083, 0.0, 0.0], ""sig"": 0.00062313}"
2026-08-12T15:02:47,2026-08-12T15:03,BTC-USD,0.4679,63340.42,63368.57,wrong,"{""f"": [1.0, 0.295137330524696, -0.3196330735856357, 0.4291896322238451, 0.0, 0.0], ""sig"": 0.00060666}"
2026-08-12T15:03:47,2026-08-12T15:04,BTC-USD,0.4622,63368.57,63422.06,wrong,"{""f"": [1.0, 0.7808352789290453, 0.5163331775886044, 0.1725541206080228, 0.0, 0.0], ""sig"": 0.00060968}"
2026-08-12T15:04:48,2026-08-12T15:05,BTC-USD,0.4688,63422.06,63377.31,right,"{""f"": [1.0, 1.5826459509037463, 1.42205067048686, -0.239573430617303, 0.0, 0.0], ""sig"": 0.00062218}"
2026-08-12T15:05:48,2026-08-12T15:06,BTC-USD,0.4145,63377.31,63426.52,wrong,"{""f"": [1.0, -0.18967866731213937, 1.226912893236109, -0.023659808759769495, 0.0, 0.0], ""sig"": 0.00060888}"
2026-08-12T15:06:48,2026-08-12T15:07,BTC-USD,0.4366,63426.52,63436.59,wrong,"{""f"": [1.0, 0.31312014265175653, 1.1274868429781408, -0.35461422117677455, 0.0, 0.0], ""sig"": 0.00060982}"
2026-08-12T15:07:49,2026-08-12T15:08,BTC-USD,0.4480,63436.59,63392.56,right,"{""f"": [1.0, 0.2608755272942872, 1.1485316109788446, -0.4363036397291329, 0.0, 0.0], ""sig"": 0.0006031}"
2026-08-12T15:08:49,2026-08-12T15:09,BTC-USD,0.4288,63392.56,63385.20,right,"{""f"": [1.0, -1.089158505093857, 0.3882932931038844, -0.1647786676247959, 0.0, 0.0], ""sig"": 0.00059826}"
2026-08-12T15:09:49,2026-08-12T15:10,BTC-USD,0.4483,63385.20,63397.57,wrong,"{""f"": [1.0, -0.2876911732017916, 0.006854428012761412, -0.1315993566543469, 0.0, 0.0], ""sig"": 0.00058672}"
2026-08-12T15:10:50,2026-08-12T15:11,BTC-USD,0.4722,63397.57,63419.94,wrong,"{""f"": [1.0, 0.31064027769852537, -0.21438532578564654, -0.23412147365270608, 0.0, 0.0], ""sig"": 0.00055403}"
2026-08-12T15:11:50,2026-08-12T15:12,BTC-USD,0.4817,63419.94,63457.25,wrong,"{""f"": [1.0, 0.62789585374087, -0.08581755607035906, -0.37242877745033176, 0.0, 0.0], ""sig"": 0.00054804}"
2026-08-12T15:12:50,2026-08-12T15:13,BTC-USD,0.4715,63457.25,63426.22,right,"{""f"": [1.0, 0.4092507998713494, 0.29602332429164746, -0.5848963923689352, 0.0, 0.0], ""sig"": 0.00055648}"
2026-08-12T15:13:51,2026-08-12T15:14,BTC-USD,0.4470,63426.22,63423.14,right,"{""f"": [1.0, -0.2706070689995546, 0.39130593069105224, -0.3244593641773258, 0.0, 0.0], ""sig"": 0.00054647}"
2026-08-12T15:14:51,2026-08-12T15:15,BTC-USD,0.4452,63423.14,63432.15,wrong,"{""f"": [1.0, -0.08939196761731501, 0.4721123417191287, -0.23932090371528067, 0.0, 0.0], ""sig"": 0.00054501}"
2026-08-12T15:15:51,2026-08-12T15:16,BTC-USD,0.4586,63432.15,63454.86,wrong,"{""f"": [1.0, 0.10971473101247108, 0.44417866419852947, -0.2259391614979229, 0.0, 0.0], ""sig"": 0.00054029}"
2026-08-12T15:16:52,2026-08-12T15:17,BTC-USD,0.4865,63454.86,63453.59,right,"{""f"": [1.0, 0.6771823533045066, 0.15982503230447614, -0.3391676155989975, 0.0, 0.0], ""sig"": 0.00053186}"
2026-08-12T15:17:52,2026-08-12T15:18,BTC-USD,0.4695,63453.59,63465.01,wrong,"{""f"": [1.0, 0.3467310355385222, 0.24028601535529967, -0.27940071337030525, 0.0, 0.0], ""sig"": 0.00052774}"
2026-08-12T15:18:52,2026-08-12T15:19,BTC-USD,0.4605,63465.01,63465.86,wrong,"{""f"": [1.0, 0.0160216542851771, 0.5244271851614293, -0.3114941823900714, 0.0, 0.0], ""sig"": 0.00052124}"
2026-08-12T15:19:53,2026-08-12T15:20,BTC-USD,0.4772,63465.86,63422.14,right,"{""f"": [1.0, 0.343063606241513, 0.5120158339201245, -0.2841907748402485, 0.0, 0.0], ""sig"": 0.00051583}"
2026-08-12T15:20:53,2026-08-12T15:21,BTC-USD,0.4539,63422.14,63413.96,right,"{""f"": [1.0, -1.0440623569893632, -0.13525143121944058, 0.05989186581125916, 0.0, 0.0], ""sig"": 0.00051454}"
2026-08-12T15:21:53,2026-08-12T15:22,BTC-USD,0.4749,63413.96,63403.20,right,"{""f"": [1.0, -0.22457709670026174, -0.38543823776528197, 0.1179340164765232, 0.0, 0.0], ""sig"": 0.00051256}"
2026-08-12T15:22:53,2026-08-12T15:23,BTC-USD,0.4686,63403.20,63399.61,right,"{""f"": [1.0, -0.561829602435551, -0.8452418560440997, 0.19165166845359188, 0.0, 0.0], ""sig"": 0.00051113}"
2026-08-12T15:23:54,2026-08-12T15:24,BTC-USD,0.4847,63399.61,63410.12,wrong,"{""f"": [1.0, 0.22734999893409408, -0.7755007128281174, 0.22120375197727982, 0.0, 0.0], ""sig"": 0.00050024}"
2026-08-12T15:24:54,2026-08-12T15:25,BTC-USD,0.4988,63410.12,63392.40,right,"{""f"": [1.0, 0.47330580948451006, -0.65545977513591, 0.14729472260427295, 0.0, 0.0], ""sig"": 0.00049585}"
2026-08-12T15:25:54,2026-08-12T15:26,BTC-USD,0.4556,63392.40,63382.55,right,"{""f"": [1.0, -0.5290374419265389, -0.4107946699039246, 0.2892986175039291, 0.0, 0.0], ""sig"": 0.00049551}"
2026-08-12T15:26:55,2026-08-12T15:27,BTC-USD,0.4587,63382.55,63393.91,wrong,"{""f"": [1.0, -0.3209479462529608, -0.5655567089138762, 0.3448248190986694, 0.0, 0.0], ""sig"": 0.00048466}"
2026-08-12T15:27:55,2026-08-12T15:28,BTC-USD,0.4748,63393.91,63399.36,wrong,"{""f"": [1.0, 0.2701729243475068, 0.02195378723692824, 0.22744998250565207, 0.0, 0.0], ""sig"": 0.00048522}"
2026-08-12T15:28:55,2026-08-12T15:29,BTC-USD,0.4736,63399.36,63415.74,wrong,"{""f"": [1.0, 0.10571879364800599, 0.0599354860505026, 0.1680146824575331, 0.0, 0.0], ""sig"": 0.00048491}"
2026-08-12T15:29:56,2026-08-12T15:30,BTC-USD,0.4932,63415.74,63448.26,wrong,"{""f"": [1.0, 0.5879065408391446, 0.1062986230364447, 0.025283425797787914, 0.0, 0.0], ""sig"": 0.00044584}"
2026-08-12T15:30:56,2026-08-12T15:31,BTC-USD,0.4872,63448.26,63381.61,right,"{""f"": [1.0, 0.6872016737792124, 0.8737431472802696, -0.25113367324759706, 0.0, 0.0], ""sig"": 0.00045074}"
2026-08-12T15:31:56,2026-08-12T15:32,BTC-USD,0.4091,63381.61,63353.54,right,"{""f"": [1.0, -2.0726710910606156, -0.060687216767455754, 0.3023294954789376, 0.0, 0.0], ""sig"": 0.00046389}"
2026-08-12T15:32:57,2026-08-12T15:33,BTC-USD,0.4601,63353.54,63326.69,right,"{""f"": [1.0, -0.6980965492788598, -0.6469313874242857, 0.47908688374440245, 0.0, 0.0], ""sig"": 0.00046435}"
2026-08-12T15:33:57,2026-08-12T15:34,BTC-USD,0.4453,63326.69,63385.45,wrong,"{""f"": [1.0, -1.0199512506838269, -1.0979686643017095, 0.640163708514118, 0.0, 0.0], ""sig"": 0.0004656}"
2026-08-12T15:34:57,2026-08-12T15:35,BTC-USD,0.5704,63385.45,63439.21,right,"{""f"": [1.0, 2.0333545458670677, -0.6544621993686123, 0.08397420224010961, 0.0, 0.0], ""sig"": 0.00046513}"
2026-08-12T15:35:58,2026-08-12T15:36,BTC-USD,0.5505,63439.21,63444.69,right,"{""f"": [1.0, 1.6088178254062502, -0.04963480433864788, -0.36276455528190504, 0.0, 0.0], ""sig"": 0.00047862}"
2026-08-12T15:36:58,2026-08-12T15:37,BTC-USD,0.4568,63444.69,63433.08,right,"{""f"": [1.0, 0.1807355076721088, 1.0401005855533698, -0.39601324483424427, 0.0, 0.0], ""sig"": 0.0004788}"
2026-08-12T15:37:58,2026-08-12T15:38,BTC-USD,0.4104,63433.08,63443.22,wrong,"{""f"": [1.0, -0.4354601850811794, 1.1709706616360618, -0.28499011568080235, 0.0, 0.0], ""sig"": 0.00045972}"
2026-08-12T15:38:58,2026-08-12T15:39,BTC-USD,0.4471,63443.22,63431.99,right,"{""f"": [1.0, 0.3120144716976651, 1.861407674302677, -0.35621110489086244, 0.0, 0.0], ""sig"": 0.0004461}"
2026-08-12T15:39:59,2026-08-12T15:40,BTC-USD,0.4339,63431.99,,,"{""f"": [1.0, -0.3399941724932615, 0.6579373296224661, -0.24078966240236213, 0.0, 0.0], ""sig"": 0.00044603}"
